20.5	30.3	15.1	10.5	13.9	22	25.2
26.9	32.1	15.7	14.8	18.2	25.5	26.3
23.9	33	16	18.6	25.7	33.7	34.7
21.9	31.7	14.6	11.2	13.2	24.4	19.2
24.5	32.3	15.4	26.5	19.6	32.8	30.7
24	32.1	15.7	16.4	15.6	17	20
23.1	32.7	15.3	22.3	18.4	34.1	32.6
24.6	37.8	15.7	26.2	22.5	39.1	32.6
19.5	29.2	13.5	15.4	9.2	16.8	26
20.7	27.6	14.8	7.7	10	8.2	19.7
21.8	34.5	14.4	25.5	23	25.5	28.6
21	30.5	14.7	13.5	19.5	23.6	28.2
22.3	31	15.1	17.4	20.2	30.3	32.4
24.2	33	26.3	16	14.2	14.1	23.4
22.1	29.8	14.2	20.6	17.5	20.4	25.7
23.9	29.5	15.2	28.5	14.8	22.6	29.8
21.8	29.6	14.5	18.6	19.1	25.7	33.7
24.1	32.1	16	20.8	23.3	39.1	31.8
21.9	31.5	15.5	19.3	18.4	32.6	24.5
22.5	31.1	15.5	19.3	15.5	19.3	29.3
21	28.9	14.9	14.8	9.1	12.7	27
22.3	30.2	15	21.1	20.8	29.9	36.7
26.8	32.9	24.4	6.9	11.5	11.6	17.1
21.9	29.8	14.9	12.7	13.6	17.8	26
22.2	33.2	15	15.3	15.6	15.9	29.8
23.9	35.4	16.5	16.4	15.6	31.6	24.9
23.3	32	15.6	24.5	11.6	25.6	27.6
23	31	15.5	20.7	14.6	16.9	26.9
23.5	31.2	14.6	22.5	25.1	7.9	25.1
24.5	33.3	15.2	11.1	23.5	15.5	28.2
23	33.2	14.6	16.4	13.6	16.4	23.5
22.6	31.9	15.2	6.3	11	10	13.2
21.8	31.2	14.8	11.9	11.8	13.5	20.4
22.3	33.1	15.3	14.3	12	14.7	25.1
22.4	33.2	14.6	21.6	17.1	26.2	30
23.7	32.9	15.1	32.4	27.8	31.4	41.2
24.6	31.7	15.5	13.1	22	21.9	29.8
20.7	32.4	13.9	10.5	14.8	7.3	21.8
21.5	32.5	13.4	16.3	10.6	8.8	24.7
20.3	29.1	13.7	13.2	17.3	15.5	30.3
21.3	30.2	14.5	15.3	11.6	9.1	27.6
20.4	32.1	14.3	11.5	15.1	21.2	23.1
24.2	32.4	14.9	15.5	12	5.7	27
24	32.4	14.4	13.9	25	13.3	28.9
23.2	32.4	15.5	16.5	15.2	7.3	26.4
24.9	32.5	16	13.5	17.4	12.1	30.8
20.6	31.2	15.2	8.3	8.8	12	16.2
21.1	31.3	15.7	11.7	11.6	16.9	19.5
22.4	32.5	15.6	13.5	14.6	15.5	26.5
20.5	30	14.6	14.3	10.4	14.7	25.1
22	34.3	16.7	12.4	11	5.1	20
23.1	22.7	15.2	22.5	14.8	20.8	30.3
21.1	30	14.4	11.8	11.2	15.4	20.5
21.8	31	14.5	17	16.4	30.3	29.6
24	35.5	15.8	13.1	15.8	7.9	26.6
21.6	30.8	15.3	9.9	10.9	4.3	26.8
21.6	32.3	15	12.2	14.4	23.3	21.9
22.9	31	14.9	5.6	11.4	2.9	21.6
23.4	24.7	16	17.7	15	8.6	25.2
22.7	32.6	15.4	12.5	10.8	16.8	16.9
22	29.7	15	12.8	14.6	15.7	22.1
21.6	31.2	15.6	9	10.9	19.3	17.5
13.5	28	22.1	7.4	11.3	10.1	14.9
23.7	32.7	15.7	30.7	29.8	37.1	40.5
23.6	33.9	15.7	20.7	14.1	24.9	28
20.7	28.6	14.7	10.3	12.5	12	22.4
21.9	29.2	15.1	18.3	23.3	30	23.9
20.8	29.3	14.7	9	10.3	9.1	20.5
22.8	31.1	14.9	19.7	26.3	28.4	25.8
22.8	30.4	15.6	20.4	10.4	17.1	31.9
21.2	30.3	14.8	16.6	11.5	16.6	27.8
23.1	31	16.1	23.1	16.5	22.8	28.6
20.5	29.2	13.7	7.7	13.1	22.4	22.8
23.2	32	14.9	28.2	29.3	35.6	27.5
22.9	30.5	13.9	29.8	22	39.1	36.4
22.7	29.7	15.1	13	9.2	6.6	19.8
23.7	32.3	15.1	13.2	15.3	17.9	20.7
19.6	29.8	14	19.7	19.5	15.6	29.4
25.2	30.8	15.7	18.3	13.4	14.6	30.6
23.8	32.7	15.4	21.5	20.1	21.8	30
24.3	34.1	16.2	24.8	19.2	21.7	34.8
22.1	29.2	14.7	18.8	12.9	18.9	24.4
23.9	30.8	15.3	38	25.5	39.1	48.4
22.1	31.4	15	14.8	23.5	30.2	28.1
23.3	31.9	25.2	9.1	10.2	17	19.8
20.9	28	14.9	7.3	9.8	6.5	19.5
