26.47	7.6	2.05	28.73	59.77	54.42
8.62	14.23	6.81	20.91	55.35	60.37
23.58	13.72	4.6	24.82	53.48	63.26
7.26	18.65	8	28.05	56.88	45.92
13.04	18.14	3.41	17	42.77	46.16
25.11	29.02	3.75	19.55	53.65	34.53
9.13	19.16	7.32	27.54	44.13	32.49
18.31	18.99	4.43	23.29	66.4	63.94
7.43	31.4	2.9	23.63	51.95	43.71
15.25	11.44	3.41	23.29	60.79	63.26
33.61	20.52	5.79	30.77	67.42	44.45
11.85	14.74	3.58	24.14	48.53	60.88
23.41	18.31	3.58	12.31	57.05	41.16
17.29	10.53	4.43	31.79	47.36	48.98
33.44	13.55	2.81	26.69	51.78	55.07
